,Location,Price,Type,rooms,Property ID
0,kent,"£170,000        ",flat,2,prop119328119
1,kent,"£1,750,000        ",flat,2,prop111164279
2,kent,"£1,750,000        ",flat,2,prop71571399
3,kent,"£1,650,000        ",flat,2,prop85153624
4,kent,"£1,495,000        ",flat,2,prop108642842
5,kent,"£1,350,000        ",flat,2,prop118900817
6,kent,"£1,350,000        ",flat,2,prop120360824
7,kent,"£1,200,000        ",flat,2,prop117908735
8,kent,"£1,195,000        ",flat,2,prop114332894
9,kent,"£1,150,000        ",flat,2,prop117908738
10,kent,"£1,150,000        ",flat,2,prop110896493
11,kent,"£1,100,000        ",flat,2,prop113170421
12,kent,POA        ,flat,2,prop121975709
13,kent,"£1,100,000        ",flat,2,prop107184791
14,kent,"£1,000,000        ",flat,2,prop122088986
15,kent,"£995,000        ",flat,2,prop108642812
16,kent,"£975,000        ",flat,2,prop121583393
17,kent,"£925,000        ",flat,2,prop120637775
18,kent,"£910,000        ",flat,2,prop118903505
19,kent,"£900,000        ",flat,2,prop121694783
20,kent,"£900,000        ",flat,2,prop121618949
21,kent,"£900,000        ",flat,2,prop120471029
22,kent,"£895,500        ",flat,2,prop117848882
23,kent,"£895,000        ",flat,2,prop117405827
24,kent,"£877,500        ",flat,2,prop115993007
25,kent,"£268,000        ",flat,2,prop83020335
26,kent,"£875,000        ",flat,2,prop117027887
27,kent,"£875,000        ",flat,2,prop110534894
28,kent,"£850,000        ",flat,2,prop121978964
29,kent,"£850,000        ",flat,2,prop120774947
30,kent,"£850,000        ",flat,2,prop118903574
31,kent,"£847,500        ",flat,2,prop117645212
32,kent,"£825,000        ",flat,2,prop109788917
33,kent,"£824,000        ",flat,2,prop120564356
34,kent,"£822,500        ",flat,2,prop115994201
35,kent,"£820,000        ",flat,2,prop116919764
36,kent,"£819,000        ",flat,2,prop122030018
37,kent,"£810,000        ",flat,2,prop118056578
38,kent,"£802,500        ",flat,2,prop121906490
39,kent,"£800,000        ",flat,2,prop118594172
40,kent,"£800,000        ",flat,2,prop121777883
41,kent,"£800,000        ",flat,2,prop120519140
42,kent,"£795,000        ",flat,2,prop71571477
43,kent,"£795,000        ",flat,2,prop111108911
44,kent,"£795,000        ",flat,2,prop115075844
45,kent,"£785,000        ",flat,2,prop108036767
46,kent,"£785,000        ",flat,2,prop113452994
47,kent,"£785,000        ",flat,2,prop118349474
48,kent,"£782,500        ",flat,2,prop117339884
49,kent,"£782,500        ",flat,2,prop121906325
