,Location,Price,Type,rooms,Property ID
0,kent,"£1,250,000        ",detached,5,prop121881863
1,kent,"£5,000,000        ",detached,5,prop118448825
2,kent,"£4,700,000        ",detached,5,prop119949677
3,kent,"£3,700,000        ",detached,5,prop112646555
4,kent,"£3,395,000        ",detached,5,prop112068557
5,kent,"£3,350,000        ",detached,5,prop118817846
6,kent,"£3,250,000        ",detached,5,prop119379998
7,kent,"£3,150,000        ",detached,5,prop108110057
8,kent,"£3,000,000        ",detached,5,prop121304582
9,kent,"£2,950,000        ",detached,5,prop117097832
10,kent,"£2,900,000        ",detached,5,prop102806471
11,kent,"£2,895,000        ",detached,5,prop121223837
12,kent,"£2,850,000        ",detached,5,prop116859119
13,kent,"£2,800,000        ",detached,5,prop120361157
14,kent,"£2,750,000        ",detached,5,prop121452047
15,kent,"£2,750,000        ",detached,5,prop119279873
16,kent,"£2,650,000        ",detached,5,prop117187778
17,kent,"£2,650,000        ",detached,5,prop120263096
18,kent,"£2,600,000        ",detached,5,prop121673480
19,kent,"£2,500,000        ",detached,5,prop117403874
20,kent,"£2,500,000        ",detached,5,prop116539283
21,kent,"£2,500,000        ",detached,5,prop119499965
22,kent,"£2,500,000        ",detached,5,prop82664589
23,kent,"£2,500,000        ",detached,5,prop112032029
24,kent,"£2,500,000        ",detached,5,prop116014097
25,kent,"£950,000        ",detached,5,prop116550398
26,kent,"£2,500,000        ",detached,5,prop119861555
27,kent,"£2,495,000        ",detached,5,prop118942268
28,kent,"£2,400,000        ",detached,5,prop121085690
29,kent,"£2,350,000        ",detached,5,prop120789368
30,kent,"£2,350,000        ",detached,5,prop119730860
31,kent,"£2,350,000        ",detached,5,prop119546066
32,kent,"£2,300,000        ",detached,5,prop112556324
33,kent,"£2,295,000        ",detached,5,prop111430253
34,kent,"£2,295,000        ",detached,5,prop109408259
35,kent,"£2,250,000        ",detached,5,prop120794048
36,kent,"£2,250,000        ",detached,5,prop118409138
37,kent,"£2,250,000        ",detached,5,prop114827054
38,kent,"£2,200,000        ",detached,5,prop120503123
39,kent,"£2,200,000        ",detached,5,prop112837694
40,kent,"£2,200,000        ",detached,5,prop121997402
41,kent,"£2,150,000        ",detached,5,prop119347583
42,kent,"£2,000,000        ",detached,5,prop117962969
43,kent,"£2,000,000        ",detached,5,prop120361319
44,kent,"£2,000,000        ",detached,5,prop121078607
45,kent,"£2,000,000        ",detached,5,prop118444394
46,kent,"£2,000,000        ",detached,5,prop118444376
47,kent,POA        ,detached,5,prop120361082
48,kent,"£2,000,000        ",detached,5,prop117096743
49,kent,"£2,000,000        ",detached,5,prop115234028
50,kent,"£2,000,000        ",detached,5,prop120378026
51,kent,"£2,000,000        ",detached,5,prop120378026
52,kent,"£2,000,000        ",detached,5,prop108044978
53,kent,"£2,000,000        ",detached,5,prop120205298
54,kent,"£1,999,750        ",detached,5,prop120511103
55,kent,"£1,995,000        ",detached,5,prop116454161
56,kent,"£1,995,000        ",detached,5,prop108043694
57,kent,"£1,975,000        ",detached,5,prop120347255
58,kent,"£1,950,000        ",detached,5,prop120510035
59,kent,"£1,950,000        ",detached,5,prop120574856
60,kent,"£1,925,000        ",detached,5,prop121842854
61,kent,"£1,925,000        ",detached,5,prop121450136
62,kent,POA        ,detached,5,prop108965261
63,kent,"£1,895,000        ",detached,5,prop79740411
64,kent,"£1,850,000        ",detached,5,prop120198809
65,kent,"£1,850,000        ",detached,5,prop119495876
66,kent,"£1,850,000        ",detached,5,prop120755750
67,kent,"£1,850,000        ",detached,5,prop120812099
68,kent,"£1,850,000        ",detached,5,prop118069460
69,kent,"£1,850,000        ",detached,5,prop117102137
70,kent,POA        ,detached,5,prop114915377
71,kent,"£1,800,000        ",detached,5,prop121392482
72,kent,"£1,800,000        ",detached,5,prop119522363
73,kent,"£1,800,000        ",detached,5,prop120738284
74,kent,"£1,800,000        ",detached,5,prop113394440
75,kent,"£625,000        ",detached,5,prop121090331
76,kent,"£1,800,000        ",detached,5,prop121787915
77,kent,"£1,800,000        ",detached,5,prop120361262
78,kent,"£1,795,000        ",detached,5,prop118389425
79,kent,"£1,785,000        ",detached,5,prop106225880
80,kent,"£1,750,000        ",detached,5,prop116255384
81,kent,"£1,750,000        ",detached,5,prop121128908
82,kent,"£1,750,000        ",detached,5,prop121940579
83,kent,"£1,750,000        ",detached,5,prop121193321
84,kent,"£1,750,000        ",detached,5,prop118444367
85,kent,"£1,750,000        ",detached,5,prop121323584
86,kent,"£1,750,000        ",detached,5,prop118528133
87,kent,"£1,750,000        ",detached,5,prop107767736
88,kent,"£1,750,000        ",detached,5,prop121210496
89,kent,"£1,700,000        ",detached,5,prop119186567
90,kent,"£1,700,000        ",detached,5,prop116888816
91,kent,POA        ,detached,5,prop96294599
92,kent,"£1,695,000        ",detached,5,prop119455067
93,kent,"£1,675,000        ",detached,5,prop112850915
94,kent,"£1,650,000        ",detached,5,prop120654461
95,kent,"£1,650,000        ",detached,5,prop112186676
96,kent,"£1,650,000        ",detached,5,prop121344110
97,kent,"£1,650,000        ",detached,5,prop113508485
98,kent,"£1,650,000        ",detached,5,prop113469731
99,kent,"£1,650,000        ",detached,5,prop113083553
100,kent,"£1,100,000        ",detached,5,prop121947278
101,kent,"£1,650,000        ",detached,5,prop119803340
102,kent,"£1,650,000        ",detached,5,prop116580026
103,kent,"£1,625,000        ",detached,5,prop118002851
104,kent,"£1,600,000        ",detached,5,prop121198337
105,kent,"£1,600,000        ",detached,5,prop120537320
106,kent,"£1,600,000        ",detached,5,prop106671659
107,kent,"£1,600,000        ",detached,5,prop120508193
108,kent,"£1,600,000        ",detached,5,prop120017048
109,kent,"£1,600,000        ",detached,5,prop111384185
110,kent,"£1,600,000        ",detached,5,prop120361148
111,kent,"£1,595,000        ",detached,5,prop118998359
112,kent,"£1,595,000        ",detached,5,prop119185595
113,kent,"£1,595,000        ",detached,5,prop106168289
114,kent,"£1,595,000        ",detached,5,prop120369677
115,kent,"£1,550,000        ",detached,5,prop121405082
116,kent,"£1,550,000        ",detached,5,prop119744183
117,kent,"£1,550,000        ",detached,5,prop112030661
118,kent,"£1,550,000        ",detached,5,prop121435451
119,kent,"£1,550,000        ",detached,5,prop121097501
120,kent,"£1,550,000        ",detached,5,prop110547737
121,kent,"£1,525,000        ",detached,5,prop113250572
122,kent,"£1,500,000        ",detached,5,prop116328590
123,kent,"£1,500,000        ",detached,5,prop117102404
124,kent,"£1,500,000        ",detached,5,prop113150417
125,kent,"£1,800,000        ",detached,5,prop121787915
126,kent,"£1,500,000        ",detached,5,prop120799172
127,kent,"£1,500,000        ",detached,5,prop118262801
128,kent,"£1,500,000        ",detached,5,prop121439945
129,kent,"£1,500,000        ",detached,5,prop120361943
130,kent,"£1,500,000        ",detached,5,prop121986140
131,kent,"£1,500,000        ",detached,5,prop121048580
132,kent,"£1,500,000        ",detached,5,prop121401635
133,kent,"£1,500,000        ",detached,5,prop121652312
